observation_date,BAA
1970-01-01,8.86
1970-02-01,8.78
1970-03-01,8.63
1970-04-01,8.70
1970-05-01,8.98
1970-06-01,9.25
1970-07-01,9.40
1970-08-01,9.44
1970-09-01,9.39
1970-10-01,9.33
1970-11-01,9.38
1970-12-01,9.12
1971-01-01,8.74
1971-02-01,8.39
1971-03-01,8.46
1971-04-01,8.45
1971-05-01,8.62
1971-06-01,8.75
1971-07-01,8.76
1971-08-01,8.76
1971-09-01,8.59
1971-10-01,8.48
1971-11-01,8.38
1971-12-01,8.38
1972-01-01,8.23
1972-02-01,8.23
1972-03-01,8.24
1972-04-01,8.24
1972-05-01,8.23
1972-06-01,8.20
1972-07-01,8.23
1972-08-01,8.19
1972-09-01,8.09
1972-10-01,8.06
1972-11-01,7.99
1972-12-01,7.93
1973-01-01,7.90
1973-02-01,7.97
1973-03-01,8.03
1973-04-01,8.09
1973-05-01,8.06
1973-06-01,8.13
1973-07-01,8.24
1973-08-01,8.53
1973-09-01,8.63
1973-10-01,8.41
1973-11-01,8.42
1973-12-01,8.48
1974-01-01,8.48
1974-02-01,8.53
1974-03-01,8.62
1974-04-01,8.87
1974-05-01,9.05
1974-06-01,9.27
1974-07-01,9.48
1974-08-01,9.77
1974-09-01,10.18
1974-10-01,10.48
1974-11-01,10.60
1974-12-01,10.63
1975-01-01,10.81
1975-02-01,10.65
1975-03-01,10.48
1975-04-01,10.58
1975-05-01,10.69
1975-06-01,10.62
1975-07-01,10.55
1975-08-01,10.59
1975-09-01,10.61
1975-10-01,10.62
1975-11-01,10.56
1975-12-01,10.56
1976-01-01,10.41
1976-02-01,10.24
1976-03-01,10.12
1976-04-01,9.94
1976-05-01,9.86
1976-06-01,9.89
1976-07-01,9.82
1976-08-01,9.64
1976-09-01,9.40
1976-10-01,9.29
1976-11-01,9.23
1976-12-01,9.12
1977-01-01,9.08
1977-02-01,9.12
1977-03-01,9.12
1977-04-01,9.07
1977-05-01,9.01
1977-06-01,8.91
1977-07-01,8.87
1977-08-01,8.82
1977-09-01,8.80
1977-10-01,8.89
1977-11-01,8.95
1977-12-01,8.99
1978-01-01,9.17
1978-02-01,9.20
1978-03-01,9.22
1978-04-01,9.32
1978-05-01,9.49
1978-06-01,9.60
1978-07-01,9.60
1978-08-01,9.48
1978-09-01,9.42
1978-10-01,9.59
1978-11-01,9.83
1978-12-01,9.94
1979-01-01,10.13
1979-02-01,10.08
1979-03-01,10.26
1979-04-01,10.33
1979-05-01,10.47
1979-06-01,10.38
1979-07-01,10.29
1979-08-01,10.35
1979-09-01,10.54
1979-10-01,11.40
1979-11-01,11.99
1979-12-01,12.06
1980-01-01,12.42
1980-02-01,13.57
1980-03-01,14.45
1980-04-01,14.19
1980-05-01,13.17
1980-06-01,12.71
1980-07-01,12.65
1980-08-01,13.15
1980-09-01,13.70
1980-10-01,14.23
1980-11-01,14.64
1980-12-01,15.14
1981-01-01,15.03
1981-02-01,15.37
1981-03-01,15.34
1981-04-01,15.56
1981-05-01,15.95
1981-06-01,15.80
1981-07-01,16.17
1981-08-01,16.34
1981-09-01,16.92
1981-10-01,17.11
1981-11-01,16.39
1981-12-01,16.55
1982-01-01,17.10
1982-02-01,17.18
1982-03-01,16.82
1982-04-01,16.78
1982-05-01,16.64
1982-06-01,16.92
1982-07-01,16.80
1982-08-01,16.32
1982-09-01,15.63
1982-10-01,14.73
1982-11-01,14.30
1982-12-01,14.14
1983-01-01,13.94
1983-02-01,13.95
1983-03-01,13.61
1983-04-01,13.29
1983-05-01,13.09
1983-06-01,13.37
1983-07-01,13.39
1983-08-01,13.64
1983-09-01,13.55
1983-10-01,13.46
1983-11-01,13.61
1983-12-01,13.75
1984-01-01,13.65
1984-02-01,13.59
1984-03-01,13.99
1984-04-01,14.31
1984-05-01,14.74
1984-06-01,15.05
1984-07-01,15.15
1984-08-01,14.63
1984-09-01,14.35
1984-10-01,13.94
1984-11-01,13.48
1984-12-01,13.40
1985-01-01,13.26
1985-02-01,13.23
1985-03-01,13.69
1985-04-01,13.51
1985-05-01,13.15
1985-06-01,12.40
1985-07-01,12.43
1985-08-01,12.50
1985-09-01,12.48
1985-10-01,12.36
1985-11-01,11.99
1985-12-01,11.58
1986-01-01,11.44
1986-02-01,11.11
1986-03-01,10.50
1986-04-01,10.19
1986-05-01,10.29
1986-06-01,10.34
1986-07-01,10.16
1986-08-01,10.18
1986-09-01,10.20
1986-10-01,10.24
1986-11-01,10.07
1986-12-01,9.97
1987-01-01,9.72
1987-02-01,9.65
1987-03-01,9.61
1987-04-01,10.04
1987-05-01,10.51
1987-06-01,10.52
1987-07-01,10.61
1987-08-01,10.80
1987-09-01,11.31
1987-10-01,11.62
1987-11-01,11.23
1987-12-01,11.29
1988-01-01,11.07
1988-02-01,10.62
1988-03-01,10.57
1988-04-01,10.90
1988-05-01,11.04
1988-06-01,11.00
1988-07-01,11.11
1988-08-01,11.21
1988-09-01,10.90
1988-10-01,10.41
1988-11-01,10.48
1988-12-01,10.65
1989-01-01,10.65
1989-02-01,10.61
1989-03-01,10.67
1989-04-01,10.61
1989-05-01,10.46
1989-06-01,10.03
1989-07-01,9.87
1989-08-01,9.88
1989-09-01,9.91
1989-10-01,9.81
1989-11-01,9.81
1989-12-01,9.82
1990-01-01,9.94
1990-02-01,10.14
1990-03-01,10.21
1990-04-01,10.30
1990-05-01,10.41
1990-06-01,10.22
1990-07-01,10.20
1990-08-01,10.41
1990-09-01,10.64
1990-10-01,10.74
1990-11-01,10.62
1990-12-01,10.43
1991-01-01,10.45
1991-02-01,10.07
1991-03-01,10.09
1991-04-01,9.94
1991-05-01,9.86
1991-06-01,9.96
1991-07-01,9.89
1991-08-01,9.65
1991-09-01,9.51
1991-10-01,9.49
1991-11-01,9.45
1991-12-01,9.26
1992-01-01,9.13
1992-02-01,9.23
1992-03-01,9.25
1992-04-01,9.21
1992-05-01,9.13
1992-06-01,9.05
1992-07-01,8.84
1992-08-01,8.65
1992-09-01,8.62
1992-10-01,8.84
1992-11-01,8.96
1992-12-01,8.81
1993-01-01,8.67
1993-02-01,8.39
1993-03-01,8.15
1993-04-01,8.14
1993-05-01,8.21
1993-06-01,8.07
1993-07-01,7.93
1993-08-01,7.60
1993-09-01,7.34
1993-10-01,7.31
1993-11-01,7.66
1993-12-01,7.69
1994-01-01,7.65
1994-02-01,7.76
1994-03-01,8.13
1994-04-01,8.52
1994-05-01,8.62
1994-06-01,8.65
1994-07-01,8.80
1994-08-01,8.74
1994-09-01,8.98
1994-10-01,9.20
1994-11-01,9.32
1994-12-01,9.10
1995-01-01,9.08
1995-02-01,8.85
1995-03-01,8.70
1995-04-01,8.60
1995-05-01,8.20
1995-06-01,7.90
1995-07-01,8.04
1995-08-01,8.19
1995-09-01,7.93
1995-10-01,7.75
1995-11-01,7.68
1995-12-01,7.49
1996-01-01,7.47
1996-02-01,7.63
1996-03-01,8.03
1996-04-01,8.19
1996-05-01,8.30
1996-06-01,8.40
1996-07-01,8.35
1996-08-01,8.18
1996-09-01,8.35
1996-10-01,8.07
1996-11-01,7.79
1996-12-01,7.89
1997-01-01,8.09
1997-02-01,7.94
1997-03-01,8.18
1997-04-01,8.34
1997-05-01,8.20
1997-06-01,8.02
1997-07-01,7.75
1997-08-01,7.82
1997-09-01,7.70
1997-10-01,7.57
1997-11-01,7.42
1997-12-01,7.32
1998-01-01,7.19
1998-02-01,7.25
1998-03-01,7.32
1998-04-01,7.33
1998-05-01,7.30
1998-06-01,7.13
1998-07-01,7.15
1998-08-01,7.14
1998-09-01,7.09
1998-10-01,7.18
1998-11-01,7.34
1998-12-01,7.23
1999-01-01,7.29
1999-02-01,7.39
1999-03-01,7.53
1999-04-01,7.48
1999-05-01,7.72
1999-06-01,8.02
1999-07-01,7.95
1999-08-01,8.15
1999-09-01,8.20
1999-10-01,8.38
1999-11-01,8.15
1999-12-01,8.19
2000-01-01,8.33
2000-02-01,8.29
2000-03-01,8.37
2000-04-01,8.40
2000-05-01,8.90
2000-06-01,8.48
2000-07-01,8.35
2000-08-01,8.26
2000-09-01,8.35
2000-10-01,8.34
2000-11-01,8.28
2000-12-01,8.02
2001-01-01,7.93
2001-02-01,7.87
2001-03-01,7.84
2001-04-01,8.07
2001-05-01,8.07
2001-06-01,7.97
2001-07-01,7.97
2001-08-01,7.85
2001-09-01,8.03
2001-10-01,7.91
2001-11-01,7.81
2001-12-01,8.05
2002-01-01,7.87
2002-02-01,7.89
2002-03-01,8.11
2002-04-01,8.03
2002-05-01,8.09
2002-06-01,7.95
2002-07-01,7.90
2002-08-01,7.58
2002-09-01,7.40
2002-10-01,7.73
2002-11-01,7.62
2002-12-01,7.45
2003-01-01,7.35
2003-02-01,7.06
2003-03-01,6.95
2003-04-01,6.85
2003-05-01,6.38
2003-06-01,6.19
2003-07-01,6.62
2003-08-01,7.01
2003-09-01,6.79
2003-10-01,6.73
2003-11-01,6.66
2003-12-01,6.60
2004-01-01,6.44
2004-02-01,6.27
2004-03-01,6.11
2004-04-01,6.46
2004-05-01,6.75
2004-06-01,6.78
2004-07-01,6.62
2004-08-01,6.46
2004-09-01,6.27
2004-10-01,6.21
2004-11-01,6.20
2004-12-01,6.15
2005-01-01,6.02
2005-02-01,5.82
2005-03-01,6.06
2005-04-01,6.05
2005-05-01,6.01
2005-06-01,5.86
2005-07-01,5.95
2005-08-01,5.96
2005-09-01,6.03
2005-10-01,6.30
2005-11-01,6.39
2005-12-01,6.32
2006-01-01,6.24
2006-02-01,6.27
2006-03-01,6.41
2006-04-01,6.68
2006-05-01,6.75
2006-06-01,6.78
2006-07-01,6.76
2006-08-01,6.59
2006-09-01,6.43
2006-10-01,6.42
2006-11-01,6.20
2006-12-01,6.22
2007-01-01,6.34
2007-02-01,6.28
2007-03-01,6.27
2007-04-01,6.39
2007-05-01,6.39
2007-06-01,6.70
2007-07-01,6.65
2007-08-01,6.65
2007-09-01,6.59
2007-10-01,6.48
2007-11-01,6.40
2007-12-01,6.65
2008-01-01,6.54
2008-02-01,6.82
2008-03-01,6.89
2008-04-01,6.97
2008-05-01,6.93
2008-06-01,7.07
2008-07-01,7.16
2008-08-01,7.15
2008-09-01,7.31
2008-10-01,8.88
2008-11-01,9.21
2008-12-01,8.43
2009-01-01,8.14
2009-02-01,8.08
2009-03-01,8.42
2009-04-01,8.39
2009-05-01,8.06
2009-06-01,7.50
2009-07-01,7.09
2009-08-01,6.58
2009-09-01,6.31
2009-10-01,6.29
2009-11-01,6.32
2009-12-01,6.37
2010-01-01,6.25
2010-02-01,6.34
2010-03-01,6.27
2010-04-01,6.25
2010-05-01,6.05
2010-06-01,6.23
2010-07-01,6.01
2010-08-01,5.66
2010-09-01,5.66
2010-10-01,5.72
2010-11-01,5.92
2010-12-01,6.10
2011-01-01,6.09
2011-02-01,6.15
2011-03-01,6.03
2011-04-01,6.02
2011-05-01,5.78
2011-06-01,5.75
2011-07-01,5.76
2011-08-01,5.36
2011-09-01,5.27
2011-10-01,5.37
2011-11-01,5.14
2011-12-01,5.25
2012-01-01,5.23
